Year,Region,disasterType,len
1977,Southern Europe,Flood,3
1977,Eastern Asia,Storm,5
1977,Eastern Asia,Drought,2
1977,Eastern Asia,Flood,6
1977,South-Eastern Asia,Storm,7
1977,South-Eastern Asia,Epidemic,7
1977,South-Eastern Asia,Flood,7
1978,Southern Asia,Flood,8
1978,South America,Flood,6
1978,Australia and New Zealand,Storm,5
1978,Eastern Africa,Epidemic,3
1978,Western Africa,Wildfire,1
1978,Southern Asia,Epidemic,7
1978,Southern Asia,Storm,8
1978,Western Asia,Epidemic,3
1978,Caribbean,Storm,1
1978,Western Europe,Flood,2
1978,Eastern Africa,Flood,5
1978,Southern Europe,Flood,1
1978,Melanesia,Storm,1
1978,Southern Europe,Earthquake,2
1978,South-Eastern Asia,Epidemic,3
1978,South-Eastern Asia,Flood,11
1978,Southern Asia,Extreme temperature ,1
1970,Melanesia,Earthquake,1
1970,Southern Asia,Landslide,2
1970,Western Asia,Landslide,1
1970,Southern Europe,Flood,1
1970,Southern Europe,Storm,1
1970,Northern Africa,Flood,1
1970,Eastern Africa,Storm,1
1970,South-Eastern Asia,Earthquake,1
1970,South-Eastern Asia,Storm,8
1970,Western Asia,Earthquake,2
1970,Northern America,Wildfire,1
1971,Southern Asia,Flood,3
1971,Southern Europe,Earthquake,1
1971,Eastern Africa,Drought,1
1971,South-Eastern Asia,Flood,1
1971,Northern Africa,Drought,1
1971,Eastern Africa,Flood,1
1971,Central America,Other,1
1971,South-Eastern Asia,Storm,6
1971,Melanesia,Landslide,1
1971,Melanesia,Other,1
1971,Middle Africa,Epidemic,1
1971,Western Asia,Earthquake,2
1971,Northern America,Earthquake,1
1972,Southern Asia,Drought,2
1972,Southern Asia,Earthquake,3
1972,Southern Europe,Earthquake,2
1972,Eastern Asia,Storm,1
1972,Micronesia,Storm,1
1972,Eastern Africa,Storm,2
1972,Central America,Flood,2
1972,Central America,Earthquake,1
1972,Southern Asia,Landslide,1
1972,South America,Earthquake,1
1972,South-Eastern Asia,Storm,3
1972,South-Eastern Asia,Flood,1
1972,Western Asia,Storm,1
1972,Polynesia,Storm,1
1972,Northern America,Landslide,1
1972,Northern America,Storm,2
1972,Northern America,Extreme temperature ,1
1973,Northern Europe,Other,1
1973,Caribbean,Storm,1
1973,South-Eastern Asia,Earthquake,1
1973,South-Eastern Asia,Flood,1
1973,Polynesia,Storm,1
1973,Northern America,Extreme temperature ,1
1974,Southern Asia,Earthquake,1
1974,South America,Earthquake,3
1974,Northern Europe,Landslide,1
1974,Eastern Asia,Landslide,1
1974,Southern Asia,Landslide,1
1974,Southern Africa,Epidemic,1
1974,South-Eastern Asia,Flood,3
1974,Western Africa,Flood,1
1974,Eastern Africa,Flood,2
1974,Russian Federation,Landslide,1
1974,Western Asia,Flood,2
1974,Caribbean,Storm,1
1974,Northern America,Storm,2
1975,Southern Asia,Flood,1
1975,Southern Europe,Landslide,1
1975,Eastern Asia,Landslide,1
1975,Eastern Africa,Flood,3
1975,Eastern Africa,Storm,3
1975,Central America,Storm,1
1975,South-Eastern Asia,Storm,2
1975,Southern Asia,Landslide,1
1975,Southern Asia,Extreme temperature ,1
1975,South-Eastern Asia,Flood,2
1975,South-Eastern Asia,Other,1
1975,Caribbean,Storm,1
1975,Eastern Europe,Flood,1
1975,Melanesia,Earthquake,1
1975,Western Africa,Storm,1
1975,Western Asia,Earthquake,1
1976,Eastern Africa,Drought,1
1976,Northern Europe,Earthquake,1
1976,Southern Europe,Earthquake,3
1976,Eastern Asia,Landslide,1
1976,Eastern Africa,Storm,1
1976,Central America,Storm,2
1976,Melanesia,Storm,1
1976,Southern Asia,Landslide,1
1976,Australia and New Zealand,Earthquake,1
1976,Northern Africa,Epidemic,1
1976,Russian Federation,Earthquake,1
1976,Western Asia,Earthquake,3
1976,Western Asia,Landslide,2
1977,Melanesia,Earthquake,2
1977,Southern Asia,Earthquake,5
1977,Caribbean,Epidemic,1
1977,Eastern Asia,Other,1
1977,Eastern Asia,Epidemic,1
1977,Micronesia,Epidemic,1
1977,South-Eastern Asia,Drought,1
1977,Southern Asia,Landslide,1
1977,Southern Asia,Drought,1
1977,Northern Africa,Flood,1
1977,Eastern Africa,Storm,2
1977,Central America,Storm,1
1977,Western Asia,Storm,2
1977,Eastern Europe,Flood,1
1977,Eastern Africa,Epidemic,3
1977,Northern Europe,Landslide,1
1977,Western Asia,Epidemic,3
1977,Middle Africa,Storm,1
1977,Polynesia,Earthquake,1
1977,Polynesia,Storm,1
1977,Northern Africa,Drought,1
1977,Western Asia,Earthquake,1
1977,Eastern Africa,Drought,1
1977,Northern America,Flood,3
1977,Northern America,Extreme temperature ,1
1978,Eastern Asia,Earthquake,2
1978,Southern Europe,Storm,1
1978,Eastern Asia,Epidemic,1
1978,Eastern Asia,Flood,3
1978,Eastern Asia,Storm,5
1978,Central America,Flood,2
1978,South-Eastern Asia,Storm,11
1978,Western Africa,Storm,1
1978,South-Eastern Asia,Other,2
1978,Northern Africa,Flood,1
1978,Northern America,Storm,4
1971,Caribbean,Other,1
1971,South America,Epidemic,1
1972,Northern America,Flood,1
1972,Western Asia,Flood,1
1972,Southern Europe,Epidemic,1
1973,Northern America,Storm,2
1973,Northern America,Flood,2
1973,Western Asia,Flood,1
1974,Western Asia,Other,1
1974,Southern Africa,Flood,1
1975,Western Asia,Drought,1
1975,Western Asia,Flood,1
1976,Middle Africa,Epidemic,1
1977,Melanesia,Storm,1
1977,Western Asia,Drought,2
1977,Southern Africa,Flood,1
1977,Middle Africa,Other,1
1978,Southern Africa,Flood,1
