Year,Region,disasterType,len
1972,Western Asia,Flood,1
1972,Southern Europe,Epidemic,1
1973,Northern America,Storm,1
1973,Northern America,Flood,1
1973,Western Asia,Flood,1
1974,Western Asia,Other,1
1974,Southern Africa,Flood,1
1975,Western Asia,Drought,1
1975,Western Asia,Flood,1
1976,Middle Africa,Epidemic,1
1977,Melanesia,Storm,1
1977,Western Asia,Drought,1
1977,Southern Africa,Flood,1
1977,Middle Africa,Other,1
1978,Southern Africa,Flood,1
1978,Middle Africa,Epidemic,1
1978,South America,Storm,1
1978,Australia and New Zealand,Drought,1
1978,Australia and New Zealand,Flood,1
1978,Central America,Storm,1
1978,South America,Drought,1
1978,Eastern Asia,Drought,1
1978,Western Europe,Earthquake,1
1978,Caribbean,Epidemic,1
1978,Western Africa,Epidemic,1
1978,Western Africa,Other,1
1978,Eastern Asia,Wildfire,1
1979,Central America,Earthquake,1
1979,South America,Earthquake,1
1979,Caribbean,Storm,1
1979,Southern Europe,Earthquake,1
1979,South America,Flood,1
1979,Australia and New Zealand,Storm,1
1979,Australia and New Zealand,Wildfire,1
1979,Western Africa,Epidemic,1
1979,Southern Asia,Storm,1
1979,Southern Asia,Drought,1
1979,Central America,Flood,1
1979,South America,Drought,1
1979,Northern America,Flood,1
1979,South America,Landslide,1
1979,Eastern Asia,Earthquake,1
1979,Eastern Asia,Drought,1
1979,Western Europe,Extreme temperature ,1
1979,Caribbean,Flood,1
1979,Northern Africa,Flood,1
1979,Northern Africa,Storm,1
1979,Southern Europe,Flood,1
1979,Melanesia,Storm,1
1979,Western Europe,Earthquake,1
1979,Eastern Asia,Landslide,1
1979,Eastern Asia,Storm,1
1979,Eastern Asia,Wildfire,1
1980,Western Africa,Drought,1
1980,Northern Africa,Earthquake,1
1980,Southern Asia,Flood,1
1980,South America,Flood,1
1980,Australia and New Zealand,Storm,1
1980,Australia and New Zealand,Wildfire,1
1980,Western Europe,Flood,1
1980,Southern Europe,Earthquake,1
1980,Southern Asia,Storm,1
1980,South America,Storm,1
1980,Caribbean,Storm,1
1980,Northern America,Wildfire,1
1980,Eastern Asia,Flood,1
1980,Eastern Asia,Storm,1
1980,Central America,Flood,1
1980,Eastern Africa,Drought,1
1980,Northern Europe,Storm,1
1980,South America,Earthquake,1
1980,Southern Europe,Drought,1
1980,Eastern Africa,Epidemic,1
1980,Melanesia,Storm,1
1980,Eastern Asia,Wildfire,1
1981,South America,Earthquake,1
1981,Southern Europe,Earthquake,1
1981,Northern America,Storm,1
1981,Middle Africa,Drought,1
1981,Eastern Africa,Drought,1
1981,Australia and New Zealand,Storm,1
1981,Australia and New Zealand,Flood,1
1981,Australia and New Zealand,Drought,1
1981,Western Europe,Storm,1
1981,Western Africa,Epidemic,1
1981,Southern Asia,Storm,1
1981,Eastern Europe,Storm,1
1981,South America,Flood,1
1981,Southern Africa,Drought,1
1981,Middle Africa,Storm,1
1981,Eastern Asia,Storm,1
1981,Eastern Asia,Earthquake,1
1981,Eastern Asia,Flood,1
1981,Eastern Asia,Wildfire,1
